date,time,latitude,longitude
2019-7-11,9:42:16,48.169649,11.756503
2019-7-11,9:42:17,48.169703,11.756454
2019-7-11,9:42:18,48.169755,11.756406
2019-7-11,9:42:19,48.169809,11.756356
2019-7-11,9:42:20,48.16986,11.756309
2019-7-11,9:42:21,48.169914,11.756257
2019-7-11,9:42:22,48.169968,11.756207
2019-7-11,9:42:23,48.170024,11.756153
2019-7-11,9:42:24,48.170079,11.756101
2019-7-11,9:42:25,48.170134,11.75605
2019-7-11,9:42:26,48.170185,11.756002
2019-7-11,9:42:27,48.170239,11.755951
2019-7-11,9:42:28,48.170291,11.755902
2019-7-11,9:42:29,48.17035,11.755848
2019-7-11,9:42:30,48.170427,11.755779
2019-7-11,9:42:31,48.170503,11.75571
2019-7-11,9:42:32,48.170583,11.755638
2019-7-11,9:42:33,48.170678,11.755553
2019-7-11,9:42:34,48.170778,11.755469
2019-7-11,9:42:35,48.170873,11.75539
2019-7-11,9:42:36,48.170968,11.75531
2019-7-11,9:42:37,48.171061,11.755232
2019-7-11,9:42:38,48.171157,11.755157
2019-7-11,9:42:39,48.171257,11.755082
2019-7-11,9:42:40,48.171358,11.755019
2019-7-11,9:42:41,48.171474,11.755003
2019-7-11,9:42:42,48.171585,11.754955
2019-7-11,9:42:43,48.171689,11.754923
2019-7-11,9:42:44,48.171796,11.754877
2019-7-11,9:42:45,48.171907,11.754849
2019-7-11,9:42:46,48.172008,11.754883
2019-7-11,9:42:47,48.172115,11.7549
2019-7-11,9:42:48,48.172221,11.754912
2019-7-11,9:42:49,48.172328,11.754927
2019-7-11,9:42:50,48.172437,11.754952
2019-7-11,9:42:51,48.172515,11.754971
2019-7-11,9:42:52,48.172553,11.75498
2019-7-11,9:42:53,48.172553,11.75498
2019-7-11,9:42:54,48.172554,11.75498
2019-7-11,9:42:55,48.172554,11.75498
2019-7-11,9:42:56,48.172554,11.75498
2019-7-11,9:42:57,48.172554,11.75498
2019-7-11,9:42:58,48.172554,11.75498
2019-7-11,9:42:59,48.172554,11.75498
2019-7-11,9:43:0,48.172554,11.75498
2019-7-11,9:43:1,48.172554,11.75498
2019-7-11,9:43:2,48.172554,11.75498
2019-7-11,9:43:3,48.172554,11.75498
2019-7-11,9:43:4,48.172554,11.75498
2019-7-11,9:43:5,48.172554,11.75498
2019-7-11,9:43:6,48.172554,11.75498
2019-7-11,9:43:7,48.172554,11.75498
2019-7-11,9:43:8,48.172554,11.75498
2019-7-11,9:43:9,48.172554,11.75498
2019-7-11,9:43:10,48.172554,11.75498
2019-7-11,9:43:11,48.172554,11.75498
2019-7-11,9:43:12,48.172554,11.75498
2019-7-11,9:43:13,48.172554,11.75498
2019-7-11,9:43:14,48.172554,11.75498
2019-7-11,9:43:15,48.172554,11.75498
2019-7-11,9:43:16,48.172554,11.75498
2019-7-11,9:43:17,48.172554,11.75498
2019-7-11,9:43:18,48.172554,11.75498
2019-7-11,9:43:19,48.172554,11.75498
2019-7-11,9:43:20,48.172554,11.75498
2019-7-11,9:43:21,48.172554,11.75498
2019-7-11,9:43:22,48.172554,11.75498
2019-7-11,9:43:23,48.172554,11.75498
2019-7-11,9:43:24,48.172554,11.75498
2019-7-11,9:43:25,48.172554,11.75498
